Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-08-08 10:08:01,FALSE,Walnut Creek Running,10.01,"1,251",1:37,142,162,3.0,159,176,9:36,6:31,203,190,1.05,8.8,9.3,289,9:34,329,0.0,327,506,"15,272",-19,No,00:00:05.5,11,01:35:57,01:36:37,100,219
Running,2025-08-07 09:13:36,FALSE,Walnut Creek Running,5.02,645,0:47,142,159,2.6,161,174,9:17,6:24,112,102,1.07,8.7,9.3,282,9:18,339,0.0,336,484,"7,496",-12,No,00:00:12.8,6,00:46:34,00:46:53,108,207
Running,2025-08-06 10:48:22,FALSE,Walnut Creek Running,7.00,895,1:13,134,152,2.5,159,231,10:25,8:23,121,115,0.97,9.2,8.9,293,10:24,301,0.0,300,403,"11,588",-13,No,00:00:03.3,8,01:12:44,01:14:36,104,203
Running,2025-08-05 09:51:46,FALSE,Walnut Creek Running,5.10,643,0:50,130,150,2.4,160,170,9:46,7:46,108,105,1.03,8.9,9.2,288,9:45,323,0.0,320,460,"7,962",-11,No,00:01:00.5,6,00:49:43,00:51:23,103,205
Track Running,2025-08-04 20:38:23,FALSE,Walnut Creek Track Running,"1,610",133,0:11,134,155,1.1,157,163,10:29,9:24,--,--,1.02,9.0,9.2,293,--,310,0.0,306,339,"1,646",-2,No,00:00:02.9,2,00:10:26,00:10:30,204,206
Track Running,2025-08-04 20:04:35,FALSE,Walnut Creek Track Running,"6,270",488,0:32,150,174,3.0,133,203,8:01,4:28,--,--,1.50,6.3,9.4,214,--,469,0.0,374,630,"4,198",-4,No,00:01:07.8,10,00:24:05,00:31:13,201,206
Running,2025-08-04 19:51:51,FALSE,Walnut Creek Running,1.01,125,0:10,133,147,1.1,158,170,9:40,7:34,--,7,1.04,8.9,9.2,291,9:48,318,0.0,314,416,"1,542",-2,No,00:00:02.2,2,00:09:42.6,00:09:43.8,205,215
Running,2025-08-04 09:06:28,FALSE,Walnut Creek Running,5.01,517,0:34,144,182,3.1,172,196,6:44,5:13,108,98,1.37,7.0,9.7,238,6:45,463,0.0,459,624,"5,796",-8,No,00:00:02.2,6,00:33:38,00:34:14,101,204
Running,2025-08-02 07:15:36,FALSE,Walnut Creek Running,15.01,"1,781",1:59,152,177,4.2,166,192,7:54,5:09,240,249,1.22,7.9,9.6,262,7:54,401,0.0,393,590,"19,604",-27,No,00:00:03.0,16,01:58:18,02:06:54,96,205
Running,2025-08-01 09:31:18,FALSE,Walnut Creek - Sprint,7.01,839,0:57,150,177,3.2,165,222,8:01,3:38,135,131,1.20,8.0,9.5,267,8:04,392,0.0,383,830,"9,204",-16,No,00:00:15,22,00:56:12,00:58:02,81,179
Running,2025-07-31 09:46:08,FALSE,Walnut Creek Running,7.01,862,1:12,132,147,2.6,159,169,10:09,7:56,125,128,0.99,9.1,9.0,292,10:11,309,0.0,307,498,"11,310",-13,No,00:00:02.4,8,01:11:00,01:12:19,102,205
Running,2025-07-30 16:48:36,FALSE,Walnut Creek - Base,6.01,757,0:49,155,176,3.3,164,188,8:01,5:31,125,135,1.22,8.0,9.7,266,8:02,391,0.0,388,615,"7,900",-10,No,00:03:11.5,7,00:48:09,00:48:29,88,198
Running,2025-07-29 09:57:23,FALSE,Walnut Creek Running,2.24,279,0:22,133,145,2.0,161,167,9:28,8:30,52,43,1.05,8.7,9.2,283,9:27,332,0.0,329,380,"3,414",-5,No,00:02:14.1,3,00:21:13,00:21:14,131,180
Track Running,2025-07-28 20:38:43,FALSE,Walnut Creek Track Running,"1,610",132,0:11,140,149,1.2,156,161,10:04,9:22,--,3,1.03,9.0,9.2,294,--,316,0.0,312,350,"1,576",-2,No,00:00:02.6,2,00:10:02,00:10:04,201,206
Track Running,2025-07-28 20:11:07,FALSE,Walnut Creek Track Running,"5,050",368,0:26,145,181,2.6,130,209,8:00,4:12,--,--,1.56,6.2,9.5,212,--,478,0.0,375,753,"3,264",-4,No,00:00:09.1,12,00:19:08,00:25:06,194,206
Track Running,2025-07-28 19:57:09,FALSE,Walnut Creek Track Running,"1,610",123,0:11,128,141,1.0,156,165,10:01,8:21,--,--,1.02,9.1,9.2,295,--,311,0.0,307,374,"1,564",-2,No,00:00:02.0,2,00:09:59,00:10:02,202,206
Running,2025-07-28 10:28:57,FALSE,Walnut Creek Running,5.01,592,0:34,167,186,3.7,171,188,6:41,5:12,108,95,1.39,7.0,9.8,238,6:41,465,0.0,462,654,"5,744",-8,No,00:00:03.0,6,00:33:27,00:35:26,112,213
Running,2025-07-26 07:40:06,FALSE,Walnut Creek Running,13.15,"1,628",1:41,160,183,4.7,166,179,7:38,6:22,223,230,1.26,7.7,9.7,258,7:38,414,0.0,409,547,"16,706",-21,No,00:01:04.4,14,01:40:13,01:42:23,104,211
Running,2025-07-25 09:22:32,FALSE,Walnut Creek Running,5.11,608,0:43,138,148,2.7,164,172,8:16,5:51,118,108,1.19,8.1,9.6,268,8:14,380,0.0,377,524,"6,928",-13,No,00:00:51.8,6,00:42:10,00:43:13,104,206
Running,2025-07-24 20:02:47,FALSE,Walnut Creek Running,2.01,223,0:13,166,189,2.8,173,184,6:19,5:54,36,46,1.47,6.7,9.9,229,6:21,493,0.0,489,603,"2,190",-5,No,00:00:02.2,3,00:12:39,00:12:40,111,158
Running,2025-07-24 08:17:52,FALSE,Walnut Creek - Sprint,6.90,790,0:56,135,162,3.1,163,231,8:01,3:27,131,131,1.21,8.1,9.6,270,8:04,396,0.0,383,873,"8,932",-15,No,00:00:04.5,22,00:55:15,00:57:27,89,196
Running,2025-07-23 09:03:51,FALSE,Walnut Creek Running,5.01,617,0:47,137,151,2.5,158,167,9:21,7:28,98,92,1.09,8.7,9.5,287,9:20,337,0.0,335,441,"7,398",-12,No,00:00:03.2,6,00:46:43,00:47:58,101,205
Running,2025-07-22 09:57:29,FALSE,Walnut Creek Running,6.01,782,1:03,134,167,2.7,156,226,10:27,7:37,486,492,0.98,9.2,8.9,299,9:43,333,0.0,312,602,"9,838",-14,No,00:00:03.1,7,01:02:39,01:06:56,96,548
Running,2025-07-21 13:42:06,FALSE,Walnut Creek Running,10.01,"1,292",1:17,171,185,4.5,166,177,7:37,5:56,217,200,1.27,7.7,9.8,260,7:37,423,0.0,419,562,"12,610",-17,No,00:00:03.9,11,01:16:11,01:17:35,100,206
